question_title_list,answer_count_list,no_of_view_list,anonymity_label,non_anonymous_answer_count,anonymous_answer_count
How much of textbook content can one copy from other authors for commercial purposes without citing the reference?,5,612,1,5,0
"Why did Netflix decide to add the inferior shorter version of the Lord of the Ring trilogy, instead of the much more true to the books (albeit longer) extended editions?",3,939,0,3,0
What are some programming books that give you exercises you can work on?,2,564,0,2,0
How do I become a grey witch? What are some book recommendations? How do I start practicing magic?,8,1741,0,8,0
What did you think of Five Get on the property Ladder by Bruno Vincent?,1,94,0,1,0
"Was ancient Egypt a dictatorship were most people where illiterate & incest was common that they were only progressive in medicine & engineering, can u recommend a book about their other aspects of life?",1,102,0,1,0
What is the difference between a book and an IT budget?,1,344,0,1,0
What's a good fantasy book series to read to toddlers at bed time?,1,469,0,1,0
"Hello everybody, I am in class 10 now and my query is that, is there lesson summary in NCERT exemplar science?",4,444,0,4,0
"I want to write a book as a teen, but have no clue whether I should write short stories, a novelette, novella, novel, or a poetry book. What is easier?",1,39,0,1,0
I would like to start studying philosophy and applied ethics in my free time. What books should I read?,2,568,0,2,0
"In the book Eat, Pray, Love. notes that the great Sufi poet Rumi once advised his students to write down three things the wanted in life. If any item on the list clashes with any other item, Rumi warned you're destined for unhappiness?",1,464,0,1,0
"Any book recommendations? I’m a teenager, so nothing inappropriate, but I prefer adult books as my reading level is pretty high.",9,1201,0,9,0
"If you could write a sequel to any science fiction novel, which book would you write after and what would it be about?",1,1027,0,1,0
"Some lady was wearing underwear (visible and all for the lower half) at library/bookstore, was this permitted, or civilized?",1,429,0,1,0
How would w go about censoring adult language in my (about to publish) book to a Christian publisher?,1,76,0,1,0
"What are some ways to begin a YA, 3rd person fantasy novel?",5,970,0,5,0
"Can anybody learn the stock market by reading books like ""Rich Dad Poor Dad"" and ""One Up on the Wall Street""?",2,338,0,2,0
"Who are the best teen writers between Aditya (Sloth), Sukanya Dwivedi, Swatanshu Shekhar Singh, Mahima Kulshreshtha and Anshika Singh?",2,1356,1,0,2
Why shouldn't I read the newspaper in the morning?,1,1054,0,1,0
What are the religious texts associated with Vaishnavism? What is their significance and how are they different from one another?,1,1142,0,1,0
What’s the name of the fairy-tale book that Dumbledore bequeaths to Hermione in “The Deathly Hallows”?,6,526,0,6,0
Can I not have Asperger's if I hate fiction and 95% of the cinema?,7,842,0,7,0
What year was the Great Alone written?,1,443,0,1,0
What happened to YA stories? They're all cliché now.,2,37,0,2,0
What are 10 spring books to read while social distancing amid the Covid-19 outbreak?,1,644,0,1,0
Is Angels and Demons a prequel to The Da Vinci Code?,1,321,0,1,0
How do I write a book? I am a seasoned chef and have thousands of tested recipes and pictures. How do I get it published?,7,606,0,6,1
What are the best books you have ever read no matter all the other critiques?,1,1349,0,1,0
What is the best fiction and non fiction book you had ever read?,2,791,0,2,0
"How are you, Kieli? What Do You Really Know About Islam? You can read this book: (A Brief Illustrated Guide to Understanding Islam) This book is specifically written non-Muslims to help them better understand Islam.",1,1030,0,1,0
What genre would a book about a virus (COVID-19) be?,3,653,0,3,0
Do you need a custom book cover design?,1,543,0,1,0
Which book helps me to understand electronic circuits used in machines?,2,571,0,2,0
"If there are 6,973 digits, how many pages are there in a book?",2,288,0,2,0
What is the most recent edition of Dungeons and Dragons?,3,981,0,3,0
Which are the best fiction novels to read in this COVID-19 lockdown?,3,755,0,3,0
"What books do you recommend for someone who wants to know the true face of Islam, especially Shiism which is under constant attack of Islamophobia?",1,655,0,1,0
Is summer reading really fair for the 1st grade for language arts?,1,221,0,1,0
What are some books that have good grammar but are simply low quality in almost everything else?,2,645,0,2,0
Hallie has 10 times as many pages to read for homework as Janet Altogether they have to read 264 pages how many pages does each girl have to read?,4,551,0,4,0
"If Dephli in 'Harry Potter: A Cursed Child' was magical, why was she not able to go to Hogwarts?",1,1993,0,1,0
Where can I read Boruto novels for free online if I can?,3,654,0,3,0
What are some sources to help researching about fiction and reality in children's literature?,1,147,0,1,0
Have authors of memoirs or autobiographies ever received backlash for the way they portrayed certain people?,2,7134,0,2,0
Can you share some French through English workbooks for beginners?,1,307,0,1,0
Are Chrome books suitable for university?,1,516,0,1,0
What is it called when an author signs a book?,5,421,0,5,0
Is 'Treehouse: A Suspenseful Horror' the scariest book on Amazon Kindle?,4,163,0,4,0
Do you trust all the things that you read or see in the books?,4,745,0,4,0
Which Naruto books am I supposed to read before Kakashi's story (Lightning in the Frozen Sky)?,1,442,0,1,0
"In J.R. R. Tolkien's novel The Lord of the Rings, what was the population of Minas Tirith?",6,19534,0,6,0
How much is a book of postage stamps?,3,367,0,3,0
"What was the name of the first extant Greek text, which can be most notably compared to Sigmund Freud's ""Interpretation of Dreams,"" that helped ancient people unravel the mystery of their dreams?",1,261,0,1,0
Can someone write a book about me without my permission?,2,556,0,2,0
What did you think of Five Lose Dad in the Garden Centre by Bruno Vincent?,1,131,0,1,0
What are students and the public to do about libraries in summer 2020? Not every book is free on digital.,3,469,0,3,0
What are some must-read books/articles or anything literary if aspiring to be a future forensic/criminal psychologist?,2,606,0,2,0
How can I get Wilhelm Hueper's autobiography from the National Library of Medicine in Maryland without getting there?,4,191,0,4,0
Which book always surprise you while reading it again?,2,1797,0,2,0
What does your collection of political books look like?,1,469,0,1,0
Which holy book explains CoViD-19?,3,963,0,3,0
What are some of the best books giving insights of married life?,2,873,0,2,0
Why is the Bible always being rewritten every year?,9,1436,0,9,0
"What was the nom de plume of Oliver Wilde's mother, Jane Wilde?",1,259,0,0,1
"Why is it hard to concentrate when reading an ebook, but not when it’s paper?",2,811,0,2,0
What is the best way to start off an article about pandemics?,6,612,0,6,0
"How does it feel when on the first draft of your novel manuscript you write over 80K words, and on the first revision after that the word count drops to less than 70K?",8,2286,0,8,0
What are some great books you would recommend for college students?,2,1010,0,2,0
"What 10 songs best describe the book ""Of mice and men"" and why? (please I really need help with this assignment)",1,458,0,1,0
I have a habit of leaving books half-read. It takes me months to complete one book. How can I become a more regular reader?,3,1274,0,3,0
What are some mistakes you can make while writing a book in the science fiction genre? Bad ideas and characters?,6,2288,0,6,0
What are some books to reduce getting distracted from studies?,1,676,0,1,0
Where and how could I have the solution manual of Introductory Nuclear Physics by Krane?,1,401,0,1,0
Why are some really old gravestones easy to read and others have weathered away?,7,700,0,7,0
Which 19th century fictional novel was the first to make reference to a dinosaur?,2,660,0,1,1
Was Shelob a spider in the books?,4,19198,0,4,0
Most of the people enjoy paper book reading the most rather than digital book reading. Is it true?,2,469,0,2,0
"Besides immersing yourself in a book from the perspective of a character, narrative perspective, or bird’s-eye perspective, how else can you enjoy a book?",2,273,0,2,0
Why shouldn't you just read the Bible once?,37,6462,0,37,0
What book are you currently reading and want to tell it on Quora?,16,5347,0,16,0
Who wrote the book the dirt?,1,287,0,1,0
What are some of the best books that relate Hinduism with science?,3,990,0,3,0
What is the best resource for studying opamps in detail? Is NPTEL good for that or is Serigo Franco a good book?,1,41,0,1,0
What are the most wanted comic books?,3,1228,0,3,0
Can a self published book be successful?,6,2357,0,6,0
"Which children's author created the character Peter Rabbit, C.S. Lewis or Beatrix Potter?",3,699,0,3,0
What is the title of Tim Hill's prankster film based on a classic best selling novel by Robert Kimmel Smith?,1,181,0,1,0
"How do you generate beautiful typeset books with computer code (typography, TeX)?",1,448,0,1,0
"In which book are all the stories of myth, god, demons, truth, devil, Kali, and Pari, like mentioned in the ASUR web series, written? What is the original book? Is it Bhagavad Gita, Puran, or what?",1,90,0,1,0
Where can I download the 'Tao of coaching' PDF?,1,832,0,1,0
What is the Bhagavad Gita movement?,2,1552,0,2,0
What are the best books of writer Challam?,1,356,1,1,0
Is Alan Moore overrated?,1,866,0,1,0
Who wrote Miss Me When I'm Gone?,3,657,0,3,0
What is the Gutenberg editor?,1,199,0,1,0
How do I learn linguistics and phonetics without any books or teachers?,2,312,0,2,0
